proudct,proudct price,proudct rate
"OPPO A15 Dual SIM Mobile - 6.52 Inches, 32 GB, 3 GB RAM, 4...","2,349.00 EGP",
Nokia 105 - Black,301.96 EGP,
"Samsung Galaxy A02 Dual Sim Mobile, 6.5 Inches, 32 GB, 3 G...","1,799.00 EGP",
"Infinix Note 10 Dual SIM Mobile Phone - 6.95 inches, 6 GB ...","3,030.00 EGP",
"Samsung Galaxy A02 Dual Sim Mobile, 6.5 Inches, 32 GB, 3 G...","1,869.17 EGP",
"Samsung Galaxy A12 Dual SIM Mobile - 6.5 Inch, 64 GB, 4 GB...","2,588.00 EGP",
"Xiaomi Redmi Note 10 Pro Dual SIM Mobile -  6.67 Inches, 6...","4,599.00 EGP",
"Realme 8 Dual SIM - 6.4 inches, 128GB, 8GB RAM, 4G LTE - S...","4,599.00 EGP",
"Samsung Galaxy S21 Ultra Dual SIM Mobile - 6.8 Inches, 256...","20,498.99 EGP",
"Xiaomi Redmi 9A Dual SIM Mobile Phone, 13 MP Camera, 6.53 ...","1,655.00 EGP",
"Xiaomi POCO X3 Dual SIM Mobile, 6.67 Inches, 128 GB, 6 GB ...","4,099.00 EGP",
"Xiaomi Redmi 9T Dual SIM Mobile - 6.53 Inch, 128 GB, 6 GB ...","3,099.00 EGP",
"Samsung Galaxy A21s Dual SIM Mobile, 6.5 Inches, 128 GB, 4...","3,235.00 EGP",
"Itel it5081, Triple SIM - 2.4 Inch - Back Camera - 2G, Blu...",244.25 EGP,
Nokia 106 Dual SIM- Dark Grey,327.00 EGP,
"Samsung Galaxy Tab S6 Lite - 10.4 Inches, 64 GB, 4 GB RAM,...","7,999.00 EGP",
"Samsung Galaxy Tab A7 Lite - 8.7 Inches, 32 GB, 3 GB RAM, ...","2,992.50 EGP",
"Samsung Galaxy Tab S6 Lite - 10.4 Inches, 64 GB, 4 GB RAM,...","7,599.00 EGP",
"Apple iPad 2019 7th Gen - 10.2 inch Retina Display, Wi-Fi ...","11,300.00 EGP",
"Samsung Galaxy Tab A T515 2019 - 10.1 Inch, 32GB, 2GB RAM,...","4,099.00 EGP",
"Sary Tab 2 Tablet - 10.1 inch, 32GB, 2GB RAM, WiFi, Black","3,333.00 EGP",
"Samsung Galaxy Tab A7 Lite - 8.7 Inches, 32 GB, 3 GB RAM, ...","2,992.50 EGP",
"Huawei MatePad Tablet - 10.4 Inches, 64GB, 4GB RAM, 4G LTE...","5,667.00 EGP",
"Sico Express3 Max Tablet, Dual SIM, 16 GB, 1 GB RAM, 3G, 7...",898.00 EGP,
"Samsung Galaxy Tab S7 plus, SM-T970, 12.4 inch, 256GB, 8GB...","21,000.00 EGP",
"Apple iPad 2020 8th Gen - 10.2 inch Retina Display, Wi-Fi,...","6,599.00 EGP",
"Kids Tablet A32 (7 Inch, 8 GB, 1 GB, Dual Camera, Wi-Fi) m...",629.00 EGP,
"Lenovo Tab M7 Tablet, 7 Inch HD Display, 16 GB, 1 GB RAM, ...","1,399.00 EGP",
"Huawei MatePad T10s Tablet - 10.1 Inches, 64 GB, 3 GB RAM ...","3,999.00 EGP",
Lenovo Tab M10 HD Gen 2 TB-X306X - 4GB RAM - 64GB - Gray,"4,200.00 EGP",
"Samsung Galaxy Tab S7, SM-T875, 11 inch, 128GB, 6GB RAM, 4...","12,558.00 EGP",
"Apple iPad Pro 2020 with Facetime - 12.9 Inch Display, WiF...","23,000.00 EGP",
"Tablet Mtouch M1 Kids ( 7 Inch, 8 GB, 1 GB, Dual Cam, Wi F...",700.00 EGP,
"Apple iPad 2020 8th Gen - 10.2 inch Retina Display, Wi-Fi,...","9,299.00 EGP",
"Apple iPad 2019 7th Gen - 10.2 inch Retina Display, Wi-Fi,...","7,777.00 EGP",
"KIOXIA by Toshiba EXCERIA MicroSD Memory Card, 128 GB - LM...",240.30 EGP,
Kingston SDCS2/32GB Class 10 CANVAS Select Plus Micro SD C...,68.00 EGP,
SanDisk Ultra SDSQUNS-016G-GN3MN 16GB 80MB/s UHS-I Class 1...,52.00 EGP,
SanDisk Ultra SDSQUNS-064G-GN3MN 64GB 80MB/s UHS-I Class 1...,131.00 EGP,
Kingston 64GB MicroSD Class 10 Canvas Select Plus Card wit...,130.00 EGP,
Kingston micSDXC Canvas Select Plus Micro SD Card with Ada...,265.50 EGP,
Kingston micSDXC Canvas Select Plus Micro SD Card with Ada...,649.00 EGP,
Samsung 256GB EVO Plus MicroSD Class10 U3 Card Up to 100MB...,699.00 EGP,
KIOXIA LMEX1L064GG2 MicroSD EXCERIA 64GB,124.00 EGP,
KIOXIA by Toshiba EXCERIA MicroSD Memory Card - 32 GB,63.00 EGP,
